ID,Title,Organization Name,City2,Province2,Date(s),Topics,Summary,Source Link,Image,Image Source Link
21,Edmonton Political Events 1993,"[""Edmonton Pride Festival""]",Edmonton,AB,1993,"[""Political Event""]","<span style=""color&#58;black;"">​In 1993, Edmonton’s mayor Jan Reimer, proclaimed her city’s first Gay and Lesbian Pride Day, irritating Duerr’s (and Calgary’s) anti-proclamation stance</span><br>","""https://calgarygayhistory.ca/tag/al-duerr/"", ""https://calgarygayhistory.ca/tag/al-duerr/""",,
22,Edmonton Pride Dates and Locations 1993,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 18 – 27, 1993","[""Festival Dates""]","<span style=""color&#58;black;"">​<span>Dates&#58; June 18 - 27 <br></span><div>Location&#58; Old Strathcona&#160;</div></span>","""https://www.proquest.com/canadiannews/docview/250585067/F8C120B2EF964CD8PQ/51 ; https://www.proquest.com/canadiannews/docview/250619191/F8C120B2EF964CD8PQ/52 "", ""https://www.proquest.com/canadiannews/docview/250585067/F8C120B2EF964CD8PQ/51 ; https://www.proquest.com/canadiannews/docview/250619191/F8C120B2EF964CD8PQ/52 """,,
23,Edmonton Pride Attendance 1994,"[""Edmonton Pride Festival""]",Edmonton,AB,25-Jun-94,"[""Attendance Record""]","<span style=""color&#58;black;"">​&#160;“About 450 people joined a boisterous procession through the streets Old Strathcona Saturday” </span><br>","""https://www.proquest.com/canadiannews/docview/252023634/F8C120B2EF964CD8PQ/64"", ""https://www.proquest.com/canadiannews/docview/252023634/F8C120B2EF964CD8PQ/64""",,
24,Edmonton Pride Awards 1994,"[""Edmonton Pride Festival""]",Edmonton,AB,Jun-94,"[""Proclamation/Award/Accolade""]","<span style=""color&#58;black;"">​<span>“Womonspace Founder Receives Award.<br></span><div>Congratulations to Jeanne Rioux, who was honoured as one of the original founders of Womonspace. The award was presented by the Pride Week Organizing Committee at the gala opening of Pride Week. Other members of our community were also recognized in the award ceremony held on June 17th.”&#160;&#160;</div></span>","""http://digicon.athabascau.ca/cdm/compoundobject/collection/albtwomen/id/4548"", ""http://digicon.athabascau.ca/cdm/compoundobject/collection/albtwomen/id/4548""",,
25,Edmonton Pride Dates and Locations 1994,"[""Edmonton Pride Festival""]",Edmonton,AB,"June ? – 25, 1994","[""Festival Dates""]","<span style=""color&#58;black;"">​<span>Dates&#58; June ? - 25 <br></span><div>Location&#58; Old Strathcona&#160;</div></span>","""https://www.proquest.com/canadiannews/docview/252023634/F8C120B2EF964CD8PQ/64 "", ""https://www.proquest.com/canadiannews/docview/252023634/F8C120B2EF964CD8PQ/64 """,,
26,Edmonton Pride Attendance 1995,"[""Edmonton Pride Festival""]",Edmonton,AB,Jun-95,"[""Attendance Record""]","<span style=""color&#58;black;"">​500</span><br>","""https://en.everybodywiki.com/Timeline_of_LGBT_history_in_Alberta"", ""https://en.everybodywiki.com/Timeline_of_LGBT_history_in_Alberta""",,
27,Edmonton Pride Dates and Locations 1995,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 16 – 25, 1995","[""Festival Dates""]","<span style=""color&#58;black;"">​<span>Dates&#58; June 16 - 25 <br></span><div>Location&#58; could not find online&#160;</div></span>","""https://www.proquest.com/canadiannews/docview/252174387/F8C120B2EF964CD8PQ/84"", ""https://www.proquest.com/canadiannews/docview/252174387/F8C120B2EF964CD8PQ/84""",,
28,Edmonton Political Events 1995,"[""Edmonton Pride Festival""]",Edmonton,AB,1995,"[""Political Event""]","<span style=""color&#58;black;"">​</span><span style=""font-size&#58;11pt;"">Mayor Reimer declared third annual Gay and Lesbian Pride Day</span>","""https://en.everybodywiki.com/Timeline_of_LGBT_history_in_Alberta"", ""https://en.everybodywiki.com/Timeline_of_LGBT_history_in_Alberta""",,
29,Edmonton Pride Dates and Locations 1996,"[""Edmonton Pride Festival""]",Edmonton,AB,"June ? - ?, 1996 - including June 22","[""Festival Dates""]","<span style=""color&#58;black;"">​<span>Dates&#58; June 22 <br></span><div>Location&#58; Rally in front of legislature&#160;</div></span>","""https://www.proquest.com/canadiannews/docview/252278239/F8C120B2EF964CD8PQ/110 "", ""https://www.proquest.com/canadiannews/docview/252278239/F8C120B2EF964CD8PQ/110 """,,
30,Edmonton Pride Attendance 1997,"[""Edmonton Pride Festival""]",Edmonton,AB,21-Jun-97,"[""Attendance Record""]","<span style=""color&#58;black;"">​&#160;About 500 spectators and participants</span><br>","""https://www.proquest.com/canadiannews/docview/252478140/F8C120B2EF964CD8PQ/124"", ""https://www.proquest.com/canadiannews/docview/252478140/F8C120B2EF964CD8PQ/124""",,
